name,address,rating,number_of_reviews,affluence
আইয়ুব আলীর ভর্তা বাড়ি এন্ডচটপটি হাউজ২,"Soriout Nogor Rd, Ashuganj, Bangladesh",3.3,6.0,0.0
রিভারভিউ রেস্টুরেন্ট এন্ড ক্যাফে,"হাজী মহিউদ্দিন ভূইয়া মার্কেট, ভৈরব বাজার 2350, Bangladesh",5.0,4.0,0.0
FoodBuzz Cafe,"Hazi Jahirul Haque Munshi Market, আশূগঞ্জ, Bangladesh",4.4,39.0,0.0
Mattam Al-Arabian Restaurant (মাতাম আল-এ্যারাবিয়ান রেস্টুরেন্ট),"22P5+CGW, Ashuganj, Bangladesh",3.0,2.0,0.0
Akhi,"2XPX+9WH, Ashuganj, Bangladesh",0.0,0.0,0.0
খাজা স্টোর,"22H4+GHG, Ashuganj, Bangladesh",5.0,2.0,0.0
APSCL North South Canteen,"Ashuganj, North South Power Plant, APSCL, Bangladesh",5.0,3.0,0.0
Bagair Food and Cafe,"Bagair, Ashuganj 3402, Bangladesh",0.0,0.0,0.0
Matham Al-Arabian,"22P5+GG7, Ashuganj, Bangladesh",5.0,2.0,0.0
Jagannath Restaurant,"Kola Patti, ভৈরব বাজার, Bangladesh",4.2,12.0,0.0
ফুড ভিলেজ এন্ড ক্যাফে,"আরাইসিধা নতুন চকবাজার,আশুগঞ্জ, আশূগঞ্জ, Bangladesh",4.1,8.0,0.0
Nanna Biriyani house.bhairab bazar,"2XWP+6P5, Bhairab 2350, Bangladesh",5.0,1.0,0.0
Gg,"Railway Station, Station Road, Ashuganj, Bangladesh",0.0,0.0,0.0
Nandan Fast Food & Cake House,"1 Uttar Gali, Ashuganj 3402, Bangladesh",3.0,7.0,0.0
বারাকাল্লাহ্ হোটেল এন্ড রেস্টুরেন্ট,"1 Uttar Gali, Ashuganj, Bangladesh",0.0,0.0,0.0
Venice Bangla Restaurant and Pizza King,"শরীয়ত নগর রোড, Ashuganj, Bangladesh",4.1,94.0,2.0
Venice Bangla Reasturant & pizza king,"Haji Alfatali Super market, আশূগঞ্জ 3017, Bangladesh",5.0,1.0,0.0
Fast Food restaurant,"Brahmanbaria District, Ashuganj 3402, Bangladesh",0.0,0.0,0.0
Grand Mughal Restaurant,"2XVP+V3Q, Bhairab, Bangladesh",3.6,42.0,0.0
Takeaway,"Fakhrul Alam Akkas Rd, Bhairab 2350, Bangladesh",5.0,2.0,0.0
জুনায়েদ চানপুর,"2XVP+M7F, Bhairab, Bangladesh",0.0,0.0,0.0
নাঈম বিরিয়ানি হাউজ,"2263+3VG, Bangladesh",3.8,4.0,0.0
Hotel Radhuni - হোটেল রাঁধুণী,"22R4+W9M, Ashuganj, Bangladesh",4.2,14.0,0.0
Parvez Tea Stall,"Railway Station, Station Road, Ashuganj, Bangladesh",5.0,2.0,0.0
Nirala Hotel,"2XVQ+5C2, Bhairab, Bangladesh",2.8,4.0,0.0
জুনায়েদ ভৈরব,"2XVP+M7F, Bhairab, Bangladesh",0.0,0.0,0.0
কফি হাউস,"22P6+M6V, Bangladesh",5.0,1.0,0.0
মায়ের দোয়া রেস্টুরেন্ট এন্ড ভাতঘর,"Upazila Rd, Ashuganj, Bangladesh",1.0,1.0,0.0
নান্না বিরিয়ানি হাউজ,"জামে মসজিদ রোড, Bhairab, Bangladesh",3.6,9.0,0.0
Diya Moni Hotel And Rasturand,"Station Road, Ashuganj, Bangladesh",3.4,8.0,0.0
নয়াহাটি মোহাম্মদ মোড,"2XVP+M7F, Bhairab, Bangladesh",0.0,0.0,0.0
বাদশা,"2XVP+M7F, Bhairab, Bangladesh",0.0,0.0,0.0
Hotel Dhanshiri,"Dhaka - Sylhet Hwy, Ashuganj, Bangladesh",3.7,189.0,1.0
APSCL Canteen,"22V8+JCQ, Ashuganj, Bangladesh",0.0,0.0,0.0
Hotel Ahad,"Unnamed Road, Bhairab, Bangladesh",1.0,1.0,0.0
"Brothers and sisters, Restaurants","Fakhrul Alam Akkas Rd, Bhairab, Bangladesh",3.8,33.0,0.0
Razzak Store,"College Rd, Bhairab, Bangladesh",0.0,0.0,0.0
Maa Restaurants,"গাওসিয়া জামে মসজিদ রোড, Bhairab, Bangladesh",3.4,12.0,0.0
Boishakhi Hotel,"2X8P+JC5, Ashuganj, Bangladesh",3.7,34.0,0.0
Shahen Shah Hotel,"22V5+FFX, Ashuganj, Bangladesh",4.1,22.0,0.0
গৌরীপুর জামে মসজিদ,"জামে মসজিদ, গৌরীপুর, Bangladesh",5.0,2.0,0.0
Hotel Ujanvati & Resort,"22P6+P4J, Bangladesh",3.4,9505.0,0.0
Janani Restaurant,"Fakhrul Alam Akkas Rd, Bhairab, Bangladesh",4.2,6.0,0.0
Hotel Rajmoni Exclusive,"N2, Bangladesh",3.2,4373.0,2.0
Asia Hotel and Sweet meat,"2XWP+QFP, Bhairab, Bangladesh",4.0,2.0,0.0
জান্নাত ভ্যারাইটিজ স্টোর,"W4G8+8CH, 3400, Bangladesh",0.0,0.0,0.0
খুরশিদ মিয়ার (খুশু মিয়া) চায়ের দোকান,"W462+7HX, Senda, Bangladesh",0.0,0.0,0.0
সজিব রেস্টুরেন্ট,"Sohata Chok Bazar Brahmanbaria,Chittagong,Bangladesh, 3400, Bangladesh",2.0,1.0,0.0
সুহাতা চকবাজার।,"W4HJ+3J8, Sreerampur, Bangladesh",5.0,2.0,0.0
Food Point Cafe & Restaurant,"Salimabad - Rupasdi Rd, Bangladesh",3.9,34.0,0.0
মিঃ কিচেন রেস্টুরেন্ট MR. Kitchen Restaurant,"Bancharampur 3420, Bangladesh",3.9,29.0,0.0
জগরার চর,"মরিচাকান্দি-বাঞ্ছারামপুর-রোড, Vitijhagararchar, Bangladesh",0.0,0.0,0.0
SALAM,"Saheb Nagar Rd, Saheb Nagar, Bangladesh",0.0,0.0,0.0
CFC RESTAURANT,"Salimabad - Rupasdi Rd, Bangladesh",4.0,2.0,0.0
ভুজন বাড়ি রেস্টুরেন্টে,"Bancharampur, Bangladesh",3.8,59.0,0.0
Bismillah Restaurant,"QRC2+WC6, Bancharampur, Bangladesh",3.8,155.0,0.0
আক্তার নাস্তার দোকান,"QRQ4+5H6, Dashdona, Bangladesh",5.0,2.0,0.0
স্বপ্নীল ফাস্ট ফুড এন্ড জুস সেন্টার,"Unnamed Road, Bangladesh",3.7,3.0,0.0
Foysal Flute,"QQFX+F2H, Bancharampur Sadar, Bangladesh",0.0,0.0,0.0
Respect for each other,"Brahmman Baria, Bancharampur, Bangladesh",0.0,0.0,0.0
Shopnil coffee House & restaurant,"Unnamed Road, Bancharampur, Bangladesh",0.0,0.0,0.0
Bandari hotel and restaurant,"QRF2+49G, Bancharampur, Bangladesh",0.0,0.0,0.0
Vhoter Adda Fast Food,"Katakhali, Bancharampur 3420, Bangladesh",3.0,1.0,0.0
Mayer Doa Computer Center,"Launch Terminal, Salimabad Rupasdi Rd, Bancharampur, Bangladesh",5.0,1.0,0.0
আজাদ,"Bancharampur - Rupasdi Rd, Achad Nogur, Bangladesh",0.0,0.0,0.0
ডেইলি ফ্রেশ হোটেল,"Bus Stop, Bancharampur, Bangladesh",4.3,3.0,0.0
Pata ghar coffee house,"Unnamed Road, Bancharampur, Bangladesh",4.0,2.0,0.0
Hazi Building,"267G+MJF, Bijoynagar, Bangladesh",0.0,0.0,0.0
